表内序号,五要素,表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
7,案(事)件要素,XZ_GMJBXX,AJXZ1,案件性质一,VARCHAR2,6,,,,,
8,案(事)件要素,XZ_GMJBXX,AJXZ2,案件性质二,VARCHAR2,6,,,,,
9,案(事)件要素,XZ_GMJBXX,LARQ,立案日期,DATE,,DE00554,立案日期时间,LARQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
10,案(事)件要素,XZ_GMJBXX,AQMS,案情描述,VARCHAR2,1000,,,,,
11,案(事)件要素,XZ_GMJBXX,ZAZZHZBZCY,专案组长或主办侦查员,VARCHAR2,30,DE00002,专案组长或主办侦查员姓名,ZAZZHZBZCYXM,字符型（string）,c..50
12,案(事)件要素,XZ_GMJBXX,LXDH,联系电话,VARCHAR2,60,DE00216,联系电话,LXDH,字符型（string）,c..18
13,案(事)件要素,XZ_GMJBXX,TBR,填表人,VARCHAR2,30,DE00002,填表人姓名,TBRXM,字符型（string）,c..50
14,案(事)件要素,XZ_GMJBXX,TBRQ,填表日期,DATE,,DE00101,填表日期,TBRQ,日期型（date）,d8（YYYYMMDD）
15,案(事)件要素,XZ_GMJBXX,ZT,案件状态,NUMBER,2,,,,,
16,案(事)件要素,XZ_GMJBXX,SPYH,审批用户,VARCHAR2,30,DE00002,审批用户姓名,SPYHXM,字符型（string）,c..50
17,案(事)件要素,XZ_GMJBXX,SPSJ,审批时间,DATE,,DE00554,审批日期时间,SPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
18,案(事)件要素,XZ_GMJBXX,TJYH,提交用户,VARCHAR2,30,DE00002,审提交用户姓名,TJYHXM,字符型（string）,c..50
19,案(事)件要素,XZ_GMJBXX,SJSPR,省级审批人,VARCHAR2,30,DE00002,省级审批人姓名,SJSPRXM,字符型（string）,c..50
20,案(事)件要素,XZ_GMJBXX,SCLRRQ,上传录入日期,DATE,,DE00101,上次录入日期,SCLRRQ,日期型（date）,d8（YYYYMMDD）
21,案(事)件要素,XZ_GMJBXX,ZHXGRQ,最后修改日期,DATE,,DE00101,最后修改日期,ZHXGRQ,日期型（date）,d8（YYYYMMDD）
22,案(事)件要素,XZ_GMJBXX,ZXSCRKSJ,中心上传入库时间,DATE,,DE00554,中心上传入库日期时间,ZXSCRKRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
23,案(事)件要素,XZ_GMJBXX,ZXZHXGSJ,中心最后修改时间,DATE,,DE00554,中心最后修改日期时间,ZXZHXGRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
24,案(事)件要素,XZ_GMJBXX,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
25,案(事)件要素,XZ_GMJBXX,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,XZ_GMJJBGMET,AJBH,案件编号,VARCHAR2,23,,,,,
2,人员要素,XZ_GMJJBGMET,RYBH,人员编号,VARCHAR2,23,,,,,
3,人员要素,XZ_GMJJBGMET,SZRYBH,失踪人员编号,VARCHAR2,23,,,,,
4,人员要素,XZ_GMJJBGMET,RDSYYJ,认定身源依据,VARCHAR2,200,,,,,
5,人员要素,XZ_GMJJBGMET,ZP,照片,BLOB,,DE00028,相片,XP,二进制型（binary）,bn（JPEG）
6,人员要素,XZ_GMJJBGMET,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
7,人员要素,XZ_GMJJBGMET,BM,别名,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
8,人员要素,XZ_GMJJBGMET,CSRQSX,出生日期初值,DATE,,DE00008,出生日期初值,CSRQCZ,日期型（date）,d8（YYYYMMDD）
9,人员要素,XZ_GMJJBGMET,CSRQXX,出生日期终值,DATE,,DE00008,出生日期终值,CSRQZZ,日期型（date）,d8（YYYYMMDD）
10,人员要素,XZ_GMJJBGMET,XB,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
11,人员要素,XZ_GMJJBGMET,MZ,民族,VARCHAR2,2,DE00011,民族代码,MZDM,字符型（string）,c2
12,人员要素,XZ_GMJJBGMET,JG,籍贯,VARCHAR2,6,DE00016,籍贯省市县代码,JGSSXDM,字符型（string）,c6
13,人员要素,XZ_GMJJBGMET,XX,血型,VARCHAR2,1,,,,,
14,人员要素,XZ_GMJJBGMET,TMTZ,体貌特征,VARCHAR2,15,,,,,
15,人员要素,XZ_GMJJBGMET,TBBJ,体表标记,VARCHAR2,24,,,,,
16,人员要素,XZ_GMJJBGMET,DNABH,DNA编号,VARCHAR2,23,,,,,
17,人员要素,XZ_GMJJBGMET,BGRQSX,被拐日期初值,DATE,,DE00101,被拐日期初值,BGRQCZ,日期型（date）,d8（YYYYMMDD）
18,人员要素,XZ_GMJJBGMET,BGRQXX,被拐日期终值,DATE,,DE00101,被拐日期终值,BGRQZZ,日期型（date）,d8（YYYYMMDD）
19,人员要素,XZ_GMJJBGMET,BGCS,被拐场所,VARCHAR2,1,,,,,
20,人员要素,XZ_GMJJBGMET,GMQX,拐卖去向,VARCHAR2,1,,,,,
21,人员要素,XZ_GMJJBGMET,JJGC,解救过程,VARCHAR2,500,,,,,
22,人员要素,XZ_GMJJBGMET,JJDD,解救地点,VARCHAR2,6,DE00075,解救地点地址名称,JJDDDZMC,字符型（string）,c..100
23,人员要素,XZ_GMJJBGMET,JJDDXZ,解救地点详址,VARCHAR2,200,DE00075,解救地点详址地址名称,JJDDXZDZMC,字符型（string）,c..100
24,人员要素,XZ_GMJJBGMET,JJDW,解救单位,VARCHAR2,12,DE00065,解救单位单位名称,JJDWDWMC,字符型（string）,c..100
25,人员要素,XZ_GMJJBGMET,JJDWXC,解救单位详称,VARCHAR2,100,,,,,
26,人员要素,XZ_GMJJBGMET,JJRQ,解救日期,DATE,,DE00101,解救日期,JJRQ,日期型（date）,d8（YYYYMMDD）
27,人员要素,XZ_GMJJBGMET,JJQK,解救情况,VARCHAR2,1,,,,,
28,人员要素,XZ_GMJJBGMET,JHRXM,监护人姓名,VARCHAR2,30,DE00002,监护人姓名,JHRXM,字符型（string）,c..50
29,人员要素,XZ_GMJJBGMET,JHRDZ,监护人地址,VARCHAR2,6,DE00075,监护人地址名称,JHRDZMC,字符型（string）,c..100
30,人员要素,XZ_GMJJBGMET,JHRDZXZ,监护人地址详址,VARCHAR2,200,DE00075,监护人详址地址名称,JHRXZDZMC,字符型（string）,c..100
31,人员要素,XZ_GMJJBGMET,MZXM,买主姓名,VARCHAR2,30,DE00002,买主姓名,MZXM,字符型（string）,c..50
32,人员要素,XZ_GMJJBGMET,MZDZ,买主地址,VARCHAR2,6,DE00075,买主地址名称,MZDZMC,字符型（string）,c..100
33,人员要素,XZ_GMJJBGMET,MZDZXZ,买主地址详址,VARCHAR2,200,DE00075,监护人地址详址名称,JHRDZXZMC,字符型（string）,c..100
34,人员要素,XZ_GMJJBGMET,MZBMDWMC,民政部门单位名称,VARCHAR2,50,DE00065,民政部门单位名称,MZBMDWMC,字符型（string）,c3
35,人员要素,XZ_GMJJBGMET,MZBMDWDZ,民政部门单位地址,VARCHAR2,6,DE00075,民政部门单位地址名称,MZBMDWDZMC,字符型（string）,c..100
36,人员要素,XZ_GMJJBGMET,MZBMDWDZXZ,民政部门单位地址详址,VARCHAR2,200,DE00075,民政部门单位地址详址名称,MZBMDWDZXZMC,字符型（string）,c..100
37,人员要素,XZ_GMJJBGMET,QTJJQKSM,其他解救情况说明,VARCHAR2,500,,,,,
38,人员要素,XZ_GMJJBGMET,XLH,序列号,NUMBER,8,,,,,
39,人员要素,XZ_GMJJBGMET,XMPY,姓名拼音,VARCHAR2,210,DE00003,姓名汉语拼音,XMHYPY,字符型（string）,c..150
40,人员要素,XZ_GMJJBGMET,BMHCHPY,别名或绰号拼音,VARCHAR2,210,,,,,
41,人员要素,XZ_GMJJBGMET,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
42,人员要素,XZ_GMJJBGMET,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,XZ_GMJJBGMFN,AJBH,案件编号,VARCHAR2,23,,,,,
2,人员要素,XZ_GMJJBGMFN,RYBH,人员编号,VARCHAR2,23,,,,,
3,人员要素,XZ_GMJJBGMFN,SZRYBH,失踪人员编号,VARCHAR2,23,,,,,
4,人员要素,XZ_GMJJBGMFN,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
5,人员要素,XZ_GMJJBGMFN,MZ,民族,VARCHAR2,2,DE00011,民族代码,MZDM,字符型（string）,c2
6,人员要素,XZ_GMJJBGMFN,CSNY,出生年月,DATE,,DE00008,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
7,人员要素,XZ_GMJJBGMFN,GMSFHM,公民身份号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
8,人员要素,XZ_GMJJBGMFN,HJD,户籍地,VARCHAR2,6,DE00016,籍贯省市县代码,JGSSXDM,字符型（string）,c6
9,人员要素,XZ_GMJJBGMFN,HJDXZ,户籍地详址,VARCHAR2,200,DE00075,户籍地详址地址名称,HJDXZDZMC,字符型（string）,c..100
10,人员要素,XZ_GMJJBGMFN,BGCS,被拐场所,VARCHAR2,1,,,,,
11,人员要素,XZ_GMJJBGMFN,BGRQ,被拐日期,DATE,,DE00101,被拐日期,BGRQ,日期型（date）,d8（YYYYMMDD）
12,人员要素,XZ_GMJJBGMFN,BGQX,被拐去向,VARCHAR2,1,,,,,
13,人员要素,XZ_GMJJBGMFN,JJJG,解救经过,VARCHAR2,500,,,,,
14,人员要素,XZ_GMJJBGMFN,JJDD,解救地点,VARCHAR2,6,DE00075,解救地点地址名称,JJDDDZMC,字符型（string）,c..100
15,人员要素,XZ_GMJJBGMFN,JJDDXZ,解救地点详址,VARCHAR2,200,DE00075,解救地点详址地址名称,JJDDXZDZMC,字符型（string）,c..100
16,人员要素,XZ_GMJJBGMFN,JJDW,解救单位,VARCHAR2,12,DE00065,解救单位单位名称,JJDWDWMC,字符型（string）,c..100
17,人员要素,XZ_GMJJBGMFN,JJDWXC,解救单位详称,VARCHAR2,100,,,,,
18,人员要素,XZ_GMJJBGMFN,JJRQ,解救日期,DATE,,DE00101,解救日期,JJRQ,日期型（date）,d8（YYYYMMDD）
19,人员要素,XZ_GMJJBGMFN,JJQK,解救情况,VARCHAR2,1,,,,,
20,人员要素,XZ_GMJJBGMFN,XLH,序列号,NUMBER,8,,,,,
21,人员要素,XZ_GMJJBGMFN,XMPY,姓名拼音,VARCHAR2,210,DE00003,姓名汉语拼音,XMHYPY,字符型（string）,c..150
22,人员要素,XZ_GMJJBGMFN,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
23,人员要素,XZ_GMJJBGMFN,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,案(事)件要素,XZ_GMPAXX,AJBH,案件编号,VARCHAR2,23,,,,,
2,案(事)件要素,XZ_GMPAXX,PXABZ,破销案标志,VARCHAR2,1,,,,,
3,案(事)件要素,XZ_GMPAXX,PXADWDM,破销案单位代码,VARCHAR2,12,,,,,
4,案(事)件要素,XZ_GMPAXX,PXADWXC,破销案单位详称,VARCHAR2,100,DE00065,破销案单位名称,PXADWMC,字符型（string）,c..100
5,案(事)件要素,XZ_GMPAXX,PXARQ,破销案日期,DATE,,DE00101,破销案日期,PXARQ,日期型（date）,d8（YYYYMMDD）
6,案(事)件要素,XZ_GMPAXX,CXYY,撤销原因,VARCHAR2,200,,,,,
7,案(事)件要素,XZ_GMPAXX,FZXYRSL,犯罪嫌疑人数量,NUMBER,4,,,,,
8,案(事)件要素,XZ_GMPAXX,JJBGMFNSL,解救被拐卖妇女数量,NUMBER,4,,,,,
9,案(事)件要素,XZ_GMPAXX,JJBGMETSL,解救被拐卖儿童数量,NUMBER,4,,,,,
10,案(事)件要素,XZ_GMPAXX,TBR,填表人,VARCHAR2,30,DE00002,填表人姓名,TBRXM,字符型（string）,c..50
11,案(事)件要素,XZ_GMPAXX,TBRQ,填表日期,DATE,,DE00101,填表日期,TBRQ,日期型（date）,d8（YYYYMMDD）
12,案(事)件要素,XZ_GMPAXX,PXADWFZR,破销案单位负责人,VARCHAR2,30,DE00002,破销案单位负责人姓名,PXADWFZRXM,字符型（string）,c..50
13,案(事)件要素,XZ_GMPAXX,SPYH,审批用户,VARCHAR2,30,DE00002,审批用户姓名,SPYHXM,字符型（string）,c..50
14,案(事)件要素,XZ_GMPAXX,SPSJ,审批时间,DATE,,DE00554,审批日期时间,SPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
15,案(事)件要素,XZ_GMPAXX,TJYH,提交用户,VARCHAR2,30,DE00002,提交用户姓名,TJYHXM,字符型（string）,c..50
16,案(事)件要素,XZ_GMPAXX,SJSPR,省级审批人,VARCHAR2,30,DE00002,省级审批人姓名,SJSPRXM,字符型（string）,c..50
17,案(事)件要素,XZ_GMPAXX,SCLRRQ,上传录入日期,DATE,,DE00101,上次录入日期,SCLRRQ,日期型（date）,d8（YYYYMMDD）
18,案(事)件要素,XZ_GMPAXX,ZHXGRQ,最后修改日期,DATE,,DE00101,最后修改日期,ZHXGRQ,日期型（date）,d8（YYYYMMDD）
19,案(事)件要素,XZ_GMPAXX,ZXSCRKSJ,中心上传入库时间,DATE,,DE00554,中心上传入库日期时间,ZXSCRKRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
20,案(事)件要素,XZ_GMPAXX,ZXZHXGSJ,中心最后修改时间,DATE,,DE00554,中心最后修改日期时间,ZXZHXGRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
21,案(事)件要素,XZ_GMPAXX,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
22,案(事)件要素,XZ_GMPAXX,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,XZ_GMXYR,AJBH,案件编号,VARCHAR2,23,,,,,
2,人员要素,XZ_GMXYR,ZTRYBH,在逃人员编号,VARCHAR2,23,,,,,
3,人员要素,XZ_GMXYR,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
4,人员要素,XZ_GMXYR,BMHCH,别名或绰号,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
5,人员要素,XZ_GMXYR,XB,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
6,人员要素,XZ_GMXYR,CSRQSX,出生日期初值,DATE,,DE00008,出生日期初值,CSRQCZ,日期型（date）,d8（YYYYMMDD）
7,人员要素,XZ_GMXYR,CSRQXX,出生日期终值,DATE,,DE00008,出生日期终值,CSRQZZ,日期型（date）,d8（YYYYMMDD）
8,人员要素,XZ_GMXYR,HJD,户籍地,VARCHAR2,6,DE00016,籍贯省市县代码,JGSSXDM,字符型（string）,c6
9,人员要素,XZ_GMXYR,HJDXZ,户籍地详址,VARCHAR2,200,DE00075,户籍地地址名称,HJDDZMC,字符型（string）,c..100
10,人员要素,XZ_GMXYR,SGSX,身高初值,VARCHAR2,3,DE00012,身高初值,SGCZ,数值型（numeric）,n..3
11,人员要素,XZ_GMXYR,SGXX,身高终值,VARCHAR2,3,DE00012,身高终值,SGZZ,数值型（numeric）,n..3
12,人员要素,XZ_GMXYR,KY,口音,VARCHAR2,21,,,,,
13,人员要素,XZ_GMXYR,TMTZ,体貌特征,VARCHAR2,15,,,,,
14,人员要素,XZ_GMXYR,TBBJ,体表标记,VARCHAR2,24,,,,,
15,人员要素,XZ_GMXYR,QTTZ,其他特征,VARCHAR2,500,,,,,
16,人员要素,XZ_GMXYR,ZC,专长,VARCHAR2,9,,,,,
17,人员要素,XZ_GMXYR,SFZH,公民身份号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
18,人员要素,XZ_GMXYR,QTZJMC,其他证件名称,VARCHAR2,2,,,,,
19,人员要素,XZ_GMXYR,QTZJHM,其他证件号码,VARCHAR2,40,,,,,
20,人员要素,XZ_GMXYR,ZP,照片或模拟画像,BLOB,,DE00028,相片,XP,二进制型（binary）,bn（JPEG）
21,人员要素,XZ_GMXYR,XLH,序列号,NUMBER,8,,,,,
22,人员要素,XZ_GMXYR,XMPY,姓名拼音,VARCHAR2,210,DE00003,姓名汉语拼音,XMHYPY,字符型（string）,c..150
23,人员要素,XZ_GMXYR,BMHCHPY,别名或绰号拼音,VARCHAR2,210,,,,,
24,人员要素,XZ_GMXYR,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
25,人员要素,XZ_GMXYR,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,案(事)件要素,XZ_MACBA,CBBZ,串并标志,VARCHAR2,1,,,,,
2,案(事)件要素,XZ_MACBA,BCBAJBH,被串并的案件编号,VARCHAR2,23,,,,,
3,案(事)件要素,XZ_MACBA,CBYJ,串并依据,VARCHAR2,2000,,,,,
4,案(事)件要素,XZ_MACBA,AJBH,案件编号,VARCHAR2,23,,,,,
5,案(事)件要素,XZ_MACBA,XLH,序列号,NUMBER,8,,,,,
6,案(事)件要素,XZ_MACBA,HSZT,核实状态1-未破案，2-核实，3-核否，4-新增,VARCHAR2,1,,,,,
7,案(事)件要素,XZ_MACBA,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
8,案(事)件要素,XZ_MACBA,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,XZ_MAFZXYR,RYBH,人员编号,VARCHAR2,23,,,,,
2,人员要素,XZ_MAFZXYR,ZTRYBH,在逃人员编号,VARCHAR2,23,,,,,
3,人员要素,XZ_MAFZXYR,RYZT,人员状态,VARCHAR2,1,,,,,
4,人员要素,XZ_MAFZXYR,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
5,人员要素,XZ_MAFZXYR,BMHCH,别名或绰号,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
6,人员要素,XZ_MAFZXYR,XB,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
7,人员要素,XZ_MAFZXYR,CSRQSX,出生日期初值,DATE,,DE00008,出生日期初值,CSRQCZ,日期型（date）,d8（YYYYMMDD）
8,人员要素,XZ_MAFZXYR,CSRQXX,出生日期终值,DATE,,DE00008,出生日期终值,CSRQZZ,日期型（date）,d8（YYYYMMDD）
9,人员要素,XZ_MAFZXYR,HJD,户籍地,VARCHAR2,6,DE00016,籍贯省市县代码,JGSSXDM,字符型（string）,c6
10,人员要素,XZ_MAFZXYR,HJDXZ,户籍地详址,VARCHAR2,200,DE00075,户籍地地址名称,HJDDZMC,字符型（string）,c..100
11,人员要素,XZ_MAFZXYR,JZD,居住地,VARCHAR2,6,DE00075,居住地地址名称,JZDDZMC,字符型（string）,c..100
12,人员要素,XZ_MAFZXYR,JZDXZ,居住地详址,VARCHAR2,200,DE00075,居住地址详址名称,JZDZXZMC,字符型（string）,c..100
13,人员要素,XZ_MAFZXYR,SG,身高,VARCHAR2,3,DE00012,身高,SG,数值型（numeric）,n..3
14,人员要素,XZ_MAFZXYR,KY,口音,VARCHAR2,21,,,,,
15,人员要素,XZ_MAFZXYR,TMTZ,体貌特征,VARCHAR2,15,,,,,
16,人员要素,XZ_MAFZXYR,TBBJ,体表标记,VARCHAR2,24,,,,,
17,人员要素,XZ_MAFZXYR,QTTZ,其他特征,VARCHAR2,500,,,,,
18,人员要素,XZ_MAFZXYR,LJLGLS,劳教劳改历史,VARCHAR2,2000,,,,,
19,人员要素,XZ_MAFZXYR,SFZH,公民身份号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
20,人员要素,XZ_MAFZXYR,QTZJY,其他证件一,VARCHAR2,2,,,,,
21,人员要素,XZ_MAFZXYR,QTZJYHM,其他证件一号码,VARCHAR2,40,,,,,
22,人员要素,XZ_MAFZXYR,QTZJE,其他证件二,VARCHAR2,2,,,,,
23,人员要素,XZ_MAFZXYR,QTZJEHM,其他证件二号码,VARCHAR2,40,,,,,
24,人员要素,XZ_MAFZXYR,ZHRQ,抓获日期,DATE,,DE00101,抓获日期,ZHRQ,日期型（date）,d8（YYYYMMDD）
25,人员要素,XZ_MAFZXYR,AJBH,案件编号,VARCHAR2,23,,,,,
26,人员要素,XZ_MAFZXYR,XLH,序列号,NUMBER,8,,,,,
27,人员要素,XZ_MAFZXYR,XMPY,姓名拼音,VARCHAR2,210,DE00003,姓名汉语拼音,XMHYPY,字符型（string）,c..150
28,人员要素,XZ_MAFZXYR,BMHCHPY,别名或绰号拼音,VARCHAR2,210,,,,,
29,人员要素,XZ_MAFZXYR,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
30,人员要素,XZ_MAFZXYR,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,案(事)件要素,XZ_MAJBXX,AJBH,案件编号,VARCHAR2,23,,,,,
2,案(事)件要素,XZ_MAJBXX,XCKYBH,现场勘验编号,VARCHAR2,23,,,,,
3,案(事)件要素,XZ_MAJBXX,LADWDM,立案单位代码,VARCHAR2,12,,,,,
4,案(事)件要素,XZ_MAJBXX,LADWXC,立案单位详称,VARCHAR2,100,DE00065,立案单位名称,LADWMC,字符型（string）,c..100
5,案(事)件要素,XZ_MAJBXX,AJLB1,案件类别一,VARCHAR2,6,DE00093,案件类别1代码,AJLBDM1,字符型（string）,c6
6,案(事)件要素,XZ_MAJBXX,AJLB2,案件类别二,VARCHAR2,6,DE00093,案件类别2代码,AJLBDM2,字符型（string）,c6
7,案(事)件要素,XZ_MAJBXX,AJLB3,案件类别三,VARCHAR2,6,DE00093,案件类别3代码,AJLBDM3,字符型（string）,c6
8,案(事)件要素,XZ_MAJBXX,AJXZ1,案件性质一,VARCHAR2,6,,,,,
9,案(事)件要素,XZ_MAJBXX,LARQ,立案日期,DATE,,DE00101,日期,RQ,日期型（date）,d8（YYYYMMDD）
10,案(事)件要素,XZ_MAJBXX,SWRS,死亡人数,NUMBER,4,DE00829,死亡人数,SWRS,数值型（numeric）,n..10
11,案(事)件要素,XZ_MAJBXX,SSRS,受伤人数,NUMBER,4,DE00829,受伤人数,SSRS,数值型（numeric）,n..10
12,案(事)件要素,XZ_MAJBXX,FXDZ,发现地址,VARCHAR2,6,DE00075,发现地址名称,FXDZMC,字符型（string）,c..100
13,案(事)件要素,XZ_MAJBXX,FXDZXZ,发现地址详址,VARCHAR2,200,DE00076,发现地址区划内详细地址,FXDZQHNXXDZ,字符型（string）,c..100
14,案(事)件要素,XZ_MAJBXX,FXCS,发现处所,VARCHAR2,15,,,,,
15,案(事)件要素,XZ_MAJBXX,FXBW,发现部位,VARCHAR2,15,DE00954,人体部位代码,RTBWDM,字符型（string）,c2
16,案(事)件要素,XZ_MAJBXX,ZWYW,指纹有无,VARCHAR2,1,,,,,
17,案(事)件要素,XZ_MAJBXX,DNAYW,DNA有无,VARCHAR2,1,,,,,
18,案(事)件要素,XZ_MAJBXX,ZJYW,足迹有无,VARCHAR2,1,,,,,
19,案(事)件要素,XZ_MAJBXX,XDHWYW,鞋底花纹有无,VARCHAR2,1,,,,,
20,案(事)件要素,XZ_MAJBXX,GJ,工具,VARCHAR2,18,,,,,
21,案(事)件要素,XZ_MAJBXX,GJHJ,工具痕迹,VARCHAR2,9,DE00187,工具痕迹代码,GJHJDM,字符型（string）,c2
22,案(事)件要素,XZ_MAJBXX,QTHJWZ,其他痕迹物证,VARCHAR2,500,,,,,
23,案(事)件要素,XZ_MAJBXX,BJWP,被劫物品,VARCHAR2,100,,,,,
24,案(事)件要素,XZ_MAJBXX,ZASJSX,作案时间初值,DATE,,DE00554,日期时间初值,RQSJCZ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
25,案(事)件要素,XZ_MAJBXX,ZASJXX,作案时间终值,DATE,,DE00554,日期时间终值,RQSJZZ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
26,案(事)件要素,XZ_MAJBXX,FXZARSCZ,分析作案人数初值,NUMBER,4,,,,,
27,案(事)件要素,XZ_MAJBXX,FXZARSZZ,分析作案人数终值,NUMBER,4,,,,,
28,案(事)件要素,XZ_MAJBXX,ZAGJ,作案工具,VARCHAR2,18,DE00040,作案工具代码,ZAGJDM,字符型（string）,c5
29,案(事)件要素,XZ_MAJBXX,QHDX,侵害对象,VARCHAR2,12,,,,,
30,案(事)件要素,XZ_MAJBXX,SRCS,杀人处所,VARCHAR2,15,,,,,
31,案(事)件要素,XZ_MAJBXX,QRFS,侵入方式,VARCHAR2,15,,,,,
32,案(事)件要素,XZ_MAJBXX,JCFS,接触方式,VARCHAR2,15,,,,,
33,案(事)件要素,XZ_MAJBXX,SRFS,杀人方式,VARCHAR2,15,,,,,
34,案(事)件要素,XZ_MAJBXX,WZMJ,伪装灭迹,VARCHAR2,15,,,,,
35,案(事)件要素,XZ_MAJBXX,TLFS,逃离方式,VARCHAR2,2,,,,,
36,案(事)件要素,XZ_MAJBXX,ZASDTDMS,其他手段,VARCHAR2,1000,,,,,
37,案(事)件要素,XZ_MAJBXX,AQMS,作案过程,VARCHAR2,1000,,,,,
38,案(事)件要素,XZ_MAJBXX,ZAYY,作案原因,VARCHAR2,12,,,,,
39,案(事)件要素,XZ_MAJBXX,LCFZYJ,流窜犯罪依据,VARCHAR2,1000,,,,,
40,案(事)件要素,XZ_MAJBXX,ZAZZHZBZCY,专案组长或主办侦查员,VARCHAR2,30,DE00002,专案组长或主办侦查员姓名,ZAZZHZBZCYXM,字符型（string）,c..50
41,案(事)件要素,XZ_MAJBXX,LXDH,联系电话,VARCHAR2,60,DE00216,联系电话,LXDH,字符型（string）,c..18
42,案(事)件要素,XZ_MAJBXX,XSJSFZR,刑事技术负责人,VARCHAR2,30,DE00002,刑事技术负责人姓名,XSJSFZRXM,字符型（string）,c..50
43,案(事)件要素,XZ_MAJBXX,GAJGFZR,公安机关负责人,VARCHAR2,30,DE00002,公安机关负责人姓名,GAJGFZRXM,字符型（string）,c..50
44,案(事)件要素,XZ_MAJBXX,TBR,填表人,VARCHAR2,30,DE00002,填表人姓名,TBRXM,字符型（string）,c..50
45,案(事)件要素,XZ_MAJBXX,TBRQ,填表日期,DATE,,DE00101,填表日期,TBRQ,日期型（date）,d8（YYYYMMDD）
46,案(事)件要素,XZ_MAJBXX,ZT,案件状态,NUMBER,2,,,,,
47,案(事)件要素,XZ_MAJBXX,SPYH,审批用户,VARCHAR2,30,DE00002,审批用户姓名,SPYHXM,字符型（string）,c..50
48,案(事)件要素,XZ_MAJBXX,SPSJ,审批时间,DATE,,DE00554,审批日期时间,SPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
49,案(事)件要素,XZ_MAJBXX,TJYH,提交用户,VARCHAR2,30,DE00002,提交用户姓名,TJYHXM,字符型（string）,c..50
50,案(事)件要素,XZ_MAJBXX,SJSPR,省级审批人,VARCHAR2,30,DE00002,省级审批人姓名,SJSPRXM,字符型（string）,c..50
51,案(事)件要素,XZ_MAJBXX,SCLRRQ,上传录入日期,DATE,,DE00101,上次录入日期,SCLRRQ,日期型（date）,d8（YYYYMMDD）
